"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen waarin worden gebezigd krachtswerktuigen, gedreven door stoom, gas, heete lucht, enz.; water of wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der Beroepsklasse ,Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Nummer der Beroepsklasse,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,13,Id.,D,,,,,,1,,5,4,,3,,9,,7,,12,2,4,,2,6,1,1,5,12,,,,4,1,,,,,,,1,,,,,,,,,,,,25,22,1,32,26,54,13,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,14,Fabricage van passementeriën,A,,,,,,,,,,,,,,,1,,,,,,,7,2,,,8,,1,,6,,,,5,,,,1,,,,1,,,,,,,,28,3,1,,29,3,14,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,15,Id.,D,,,,4,3,6,1,27,6,,13,,8,3,27,,12,6,3,,3,15,5,,1,21,1,,,13,1,2,,4,,,,2,,,1,1,,,,,,,,65,87,2,35,67,122,15,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,16,Fabricage van viltwaren,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,16,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,17,Fabricage van watten,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,17,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,18,Id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,18,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,19,Id.,D,,,,,,,1,1,,,,,,,1,,,,,,,1,,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,3,1,3,2,6,19,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,20,Kantwerkers,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,20,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,D,,"Appréteerderij, bleekerij, drukkerij, ververij enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,21,Blauwververs,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,21,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,22,Katoendrukkers,D,,,,3,,4,,3,,,2,,,,4,,,,1,,,4,1,,,3,,,,4,2,,,,,,,,,,,,,,,,,,,11,20,,,11,20,22,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,E,,Zeilmakerij en touwslagerij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,23,Fabricage van netten,B,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,23,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,24,Id.,D,,,1,,,,,,4,,,,4,,,1,6,,,1,,5,1,2,,8,1,2,1,,,,,,,,,,,,,,,,,,,,,13,2,6,16,19,18,24,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,25,Fabricage van touw,A,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,4,,25,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,26,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,26,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,27,Id.,D,,,,2,,,,,,,2,,,,3,,,,2,,,4,1,,,7,1,,,,,,,4,,,,1,,,,,,,,,,,,16,11,,,16,11,27,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,28,Fabricage van vlas,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,28,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,29,Id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,29,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,30,Id.,D,,,,1,,3,,4,2,,4,,1,1,7,,7,,,,,10,3,,1,10,,,,9,2,,,6,,,,2,,,,1,,,,,,,,39,24,,11,39,35,30,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,31,Fabricage van zeildoek,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,31,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,32,Id.,D,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,2,,32,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,33,Zeilmakers,A,,,,,,,,,,,,,,,,,,,1,,,5,,,,22,2,,,14,,,,4,,,,5,,1,,1,,,,,,,,51,3,1,,52,3,33,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,34,Id.,D,,,,,,3,,8,,,8,,,3,27,,,3,2,,,31,7,,,53,8,,,29,3,,,22,,,,10,,,,7,,,,,,,,158,66,,,158,66,34,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,,Totaal voor XIV,A,,,,,,,,,1,,,1,2,,1,,5,,1,,2,19,3,,10,58,6,4,3,30,,2,5,13,1,2,1,6,,1,2,6,,3,,,,,,132,12,13,31,145,43,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,,Totaal voor XIV,B,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,5,1,,,5,1,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,,Totaal voor XIV,C,,,,,,,,,,,,,1,,,,,,,,,3,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,4,2,,2,4,4,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,,Totaal voor XIV,D,,,2,15,7,22,14,56,46,,35,,64,7,86,2,107,13,13,3,19,85,22,2,23,126,14,15,17,69,10,17,15,37,,5,5,17,,8,3,11,,11,6,,,,,365,273,63,328,428,601,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,,Totaal voor groep XIV,,,0,2,15,7,22,14,56,47,0,35,1,67,7,87,2,112,13,14,3,21,109,27,8,34,188,21,19,20,99,10,19,20,50,1,7,6,23,0,9,5,17,0,14,6,0,0,0,0,506,288,82,361,588,649,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,XV,,,"Verlichting, olie, vet, zeep, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,A,,Verlichting enz. (incl. gemeentelijke gasfabrieken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,35,Fabricage van electriciteit,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,35,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,36,Id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,36,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,37,Id.,D,,,,,,,,,,,,,,,1,,,,1,,,2,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,4,3,,,4,3,37,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,38,Fabricage van gas,A,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,,,2,1,38,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,39,Id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,3,,39,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,40,Id.,C,,,,,,,,,,,1,,,,3,,,1,,,,5,3,,,15,1,,,3,,,,2,,,,1,,,,,,,,,,,,27,8,,,27,8,40,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,,,41,Id.,D,,,,1,,1,,4,,,5,,,8,25,,,9,15,,,141,18,,,224,14,,,85,4,,,16,,,,12,,,,3,,,,,,,,498,87,,,498,87,41,BT ,1889_02_T1,30,31,HET RIJK,29_0384
,XV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,1,Fabricage van kaarsen,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,,,,,,,,,,,,1,,,,1,,,,,,,,6,1,,,6,1,1,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,2,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,3,,2,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,3,id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,6,,3,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,4,id.,D,,,,1,,,,1,5,,3,,17,3,8,1,23,2,2,,8,8,4,1,8,20,1,1,1,5,2,,1,3,,,,1,,1,,,,,,,,,,42,22,4,63,46,85,4,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,5,Gasfitters,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,4,,5,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,6,id.,D,,,,,,3,,12,,,12,,,3,32,,,6,7,,,87,16,,,86,7,,,20,,,,8,,,,4,,,,,,,,,,,,214,89,,,214,89,6,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,b,,"Olie, vernis, ver, zeep, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,7,Fabricage van levertraan,D,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,7,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,8,Fabricage van olie (olieslagers) ,A,,,,,,,,,,,,,,,,,,,,,,2,1,,,5,2,,,4,,,,,,,,3,,,,,,,,,,,,14,3,,,14,3,8,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,9,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,4,,,,4,,9,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,10,id.,D,,,,,,1,,1,,,5,,,1,7,,,,,,,6,1,,,10,,,,7,1,,,2,,,,,,,,,,,,,,,,26,16,,,26,16,10,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,11,Fabricage van vernis,A,,,,,,,,,,,,,,,,,,,1,,,4,,,,2,1,,,3,,,,,,,,,,,,,,,,,,,,9,2,,,9,2,11,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,12,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,12,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,13,id.,D,,,,,,,,,,,2,,,,4,,,1,,,,4,1,,,5,,,,2,,,,2,,,,2,,,,,,,,,,,,16,7,,,16,7,13,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,14,Fabricage van wagensmeer,D,,,,,,,,,,,1,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,14,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,15,Zeepzieders,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,15,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,16,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,16,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,17,id.,D,,,,,,,,,,,1,,1,,4,,,,,,,5,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,11,5,,1,11,6,17,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,,Totaal voor XV,A,,,,,,,,,,,,,,,,,,1,1,,,9,4,,,12,3,,,11,,,,1,,,,4,,,,1,,,,,,,,39,8,,,78,16,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,,Totaal voor XV,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,3,,,,,,,,1,,,,,,,,,,,,6,1,,,6,1,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,,Totaal voor XV,C,,,,,,,,,,,1,,,,4,,,1,,,,7,3,,,23,1,,,5,,,,2,,,,3,,,,,,,,,,,,41,9,,,41,9,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,,Totaal voor XV,D,,,,2,,5,,18,5,,29,,18,16,81,1,23,18,25,,8,255,41,1,8,352,22,1,1,121,7,,1,31,,,,19,,1,,3,,,,,,,,815,230,4,64,819,294,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,,Totaal voor groep XV,,,,,2,,5,,18,5,,30,,18,16,85,1,23,20,26,,8,271,48,1,8,389,27,1,1,140,7,,1,34,,,,27,,1,,4,,,,,,,,901,248,4,64,905,312,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,XVI,,,Voedings- en genotmiddelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,a,,"Grutterijen, meelmolens, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,18,Fabricage van meel,A,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,1,,,,,,,,,,,,5,,,,5,,18,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,19,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,19,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,20,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,1,,,,,,,,,,,,1,,,,,,,,7,1,,,7,1,20,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,21,id.,D,,,,,,,,,,,2,,,2,4,,,,2,,,17,,,,13,,,,5,,,,2,,,,,,,,,,,,,,,,39,8,,,39,8,21,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,22,Grutters,A,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,,1,,,,,,,,1,,,,1,,,,,,,,5,2,,,5,2,22,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,23,id.,C,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,23,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,24,id.,D,,,,,,,,,,,3,,,,10,,,1,1,,,1,2,,,6,2,1,,3,,,,,,,,,,,,,,,,,,,,11,18,1,,12,18,24,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,25,"Molenaars (meel-, rijst-, enz.)",A,,,,,,,,,,,,,,,,,,,,,,4,1,,,9,1,1,,1,1,,,2,,,,1,,,,1,,,,,,,,18,3,1,,19,3,25,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,26,id.,B,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,26,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,27,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,8,,27,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,28,id.,D,,1,,1,,3,,4,,,7,,,1,9,,,5,5,,,52,6,,,65,5,,,23,,,,5,,,,7,,,,1,,,,,,,,159,41,,,159,41,28,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,b,,"Bakkerijen, (brood-, banket-, suiker-, enz.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,29,Balletjesmakers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,29,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,30,id.,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,30,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,31,"Beignets-, poffertjes- en wafelbakkers",A,,,,,,,,,,,,,,2,,,,1,,,,6,,,1,5,,2,,7,1,,,2,,,,3,,,,1,,1,,,,,,27,1,3,1,30,2,31,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,32,id.,D,,,,,,,,,,,,,,,1,,,1,1,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,,1,3,4,32,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,33,Brood- en beschuitbakkers,A,,,,,,,,,,,,,,4,6,,,12,3,,,137,16,4,,216,7,7,1,101,3,10,,37,,3,,18,,1,,10,,3,,,,,,535,35,28,1,563,36,33,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,34,id.,B,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,,4,1,1,,5,1,34,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,35,id.,C,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,7,1,,,8,1,,,2,,,,,,,,,,,,,,,,17,4,,2,17,6,35,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,36,id.,D,,2,,5,,20,,93,,,185,,,14,425,,,43,131,,,402,264,,,538,86,,,223,34,,,73,5,,,27,2,,,10,4,,,,,,,1330,1256,,,1330,1256,36,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,37,Confiseurs,A,,,,,,,,,,,,,,1,1,,,2,2,,,30,6,,,29,2,,,8,,,,1,,,,2,,,,2,,,,,,,,75,11,,,75,11,37,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,38,id.,D,,,,2,,8,,33,,1,59,,,5,102,,,12,27,,,79,47,,,132,13,,,39,1,,,21,1,,,11,1,,,5,1,,,,,,,305,295,,,305,295,38,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,39,Fabricage van biscuit,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,39,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,40,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,40,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,41,id.,D,,,,,,,,3,1,,2,,2,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,7,,12,41,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,42,Fabricage van brood en beschuit,A,,,,,,,,,,,,,,,,,,,,,,4,,,,5,1,,,1,,,,,,,,,,,,,,,,,,,,10,1,,,10,1,42,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,43,id.,B,,,,,,,,,,,,,,,,,,,,,,2,,,,6,,,,3,,,,,,,,1,,,,,,,,,,,,12,,,,12,,43,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,44,id.,C,,,,,,,,,,,,,,,1,,,,,,,5,1,,,13,,,,5,,,,1,,,,,,,,,,,,,,,,24,2,,,24,2,44,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,45,id.,D,,,,,,2,,4,2,,5,,1,1,6,,2,,3,,,21,7,,,40,2,,,24,2,,,4,1,,,,,,,2,,,,,,,,92,32,,5,92,37,45,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,46,Fabricage van pepermunt,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,46,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,,,47,id.,D,,,,,,1,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,47,BT ,1889_02_T1,32,33,HET RIJK,29_0385
,XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,1,Fabricage van suikerwerken,A,,,,,,,,,,,,,,,2,,,1,1,,,15,4,,,15,,,,7,,2,,1,,,,2,,,,3,,,,,,,,44,7,2,,46,7,1,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,2,id.,B,,,,,,,,4,,,3,,,,1,,,,,,,2,3,,,4,1,,,,,,,,,,,,,,,,,,,,,,,6,12,,,6,12,2,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,3,id.,C,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,1,,,,1,,,,,,,,,,,,,,,,12,,,,12,,3,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,4,id.,D,,1,,6,,24,1,49,4,,35,1,6,1,56,,4,5,12,,,53,24,,,80,7,,1,19,1,,,9,,,,6,,,,8,,,,,,,,181,215,1,16,182,231,4,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,5,Koek- en banketbakkers,A,,,,,,,,,,,1,,,1,4,,,3,5,,,62,11,,,112,6,2,,38,1,1,,8,,,,3,1,,,1,,,,,,,,228,29,3,,231,29,5,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,6,id.,B,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,6,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,7,id.,C,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,7,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,8,id.,D,,,,4,,19,,58,,,83,,,4,138,,,5,54,,,35,68,,,53,15,,,18,2,,,7,1,,,3,1,,,1,,,,,,,,126,443,,,126,443,8,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,9,Koks en kooksters,A,,,,,,,,,,,,,,1,2,,,1,1,,,8,4,1,,17,1,4,1,5,,3,1,3,,1,1,,1,,,,,,,,,,,35,9,9,3,44,12,9,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,10,id.,B,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,1,,,,,,,,,,,,,,,,3,2,,,3,2,10,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,11,id.,C,,,,,,,,,,,,,,,2,,,,1,,,5,4,,,6,1,,,2,,,,,,,,1,,,,,,,,,,,,14,8,,,14,8,11,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,12,id.,D,,,,,,,,9,,,15,,1,3,61,,4,4,18,,,35,26,1,5,31,8,7,1,14,2,6,2,2,,,1,6,1,,,1,,1,,,,,,96,140,15,14,111,154,12,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,c,,Beetwortelsuikerfabrieken en suikerraffinaderijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,13,Fabricage van beetwortelsuiker,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,14,Suikerraffinadeurs,A,,,,,,,,,,,,,,,1,,,,,,2,1,,,,5,3,,,3,,,,,,,,,,,,1,,,,,,,,10,4,,2,10,6,14,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,15,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,1,,,,2,,,,1,,,,,,,,,,,,8,1,,,8,1,15,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,16,id.,C,,,,,,,,,,,,,,,4,,,,1,,,8,8,,,13,,,,4,,,,3,,,,,,,,2,,,,,,,,30,13,,,30,13,16,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,17,id.,D,,1,,1,1,2,1,19,,,39,,1,5,87,,2,16,16,,,172,43,,,264,10,,,106,3,,,23,2,,,18,,,,7,,,,,,,,611,223,,5,611,228,17,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,d,,"Aardappelmeel- een stroopfabrieken, stijfsel, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,18,Fabricage van siroop,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,3,1,,,3,1,18,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,19,id.,D,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,,,1,1,,,2,,,,1,,,,,,,,,,,,7,2,,,7,2,19,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,20,Fabricage van stijfsel,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,20,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,e,,Cacao- en chocoladefabrieken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,34,35,HET RIJK,29_0386
