"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1877",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,40,Brood- en beschuitbakkers,A,,,,,,,,1,,,3,,1,14,34,,1,56,27,,,872,110,13,2,1104,73,40,2,517,31,42,2,141,5,23,2,103,2,18,,68,1,19,1,,,,,2875,287,155,11,3030,298,40,BT,1889_02_T3,154,155,HET RIJK,29_0446
,,41,id.,B,,,,,,,,1,,,1,,,1,11,,,1,8,,,4,32,,,9,8,1,,7,2,,,,1,1,,1,,,,1,,,,,,,,24,64,2,,26,64,41,BT,1889_02_T3,154,155,HET RIJK,29_0446
XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,1,Brood- en beschuitbakkers,C,,,,,,,,,,,,,,1,3,,,1,3,,,8,9,,,6,4,,,2,,,,,,,,,,,,,,,,,,,,18,19,,,18,19,1,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,2,id.,D,,4,,36,,95,,423,4,,673,,1,8,1452,,3,29,417,,,183,634,,,159,175,,,77,45,,,31,7,,,16,5,,,7,1,,,,,,,510,3967,,8,510,3975,2,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,3,Confiseurs,A,,,,,,,,,,,,,,,,,,1,2,,,18,5,,,26,1,2,,13,,2,,4,,1,,1,,1,,2,,,,,,,,65,8,6,,71,8,3,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,4,id.,B,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,4,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,5,id.,D,,,,2,,7,,17,,,27,,,,41,,,,16,,,1,11,,,5,4,,,1,1,,,,,,,,,,,,,,,,,,,7,126,,,7,126,5,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,6,Fabricage van brood en beschuit,A,,,,,,,,,,,,,,1,,,,1,,,,6,4,1,,20,2,2,,6,1,,,3,,,,3,,,,2,,1,,,,,,42,7,4,,46,7,6,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,7,id.,C,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,7,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,8,id.,D,,,,1,,1,,9,,,12,,,1,28,,,,3,,,2,16,,,3,3,,,,,,,,1,,,,,,,,,,,,,,,6,74,,,6,74,8,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,9,Fabricage van pepermunt,D,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,4,3,,,4,3,9,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,10,Fabricage van suikerwerken,A,,,,,,,,,,,,,,,,,,,,,,10,2,,,6,1,2,,4,,,,2,,,,,,1,,2,,,,,,,,24,3,3,,27,3,10,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,11,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,11,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,12,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,12,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,13,id.,D,,,,1,,1,,1,2,,1,,,,6,,,,1,,1,4,7,,,1,,1,,,,,,,,,,,,,,,,,,,,,,5,18,1,3,6,21,13,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,14,Koek- en banketbakkers,A,,,,,,,,1,,,,,,1,4,,,2,3,,,60,12,1,,74,7,2,,25,1,3,2,14,1,1,,6,,,,6,,2,,,,,,188,29,9,2,197,31,14,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,15,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,2,15,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,16,id.,D,,2,,2,,10,,56,,,64,,,,73,,,5,24,,,26,47,,,32,10,2,,9,1,,,6,1,1,,,,,,1,,,,,,,,79,290,3,,82,290,16,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,17,Koks en kooksters,A,,,,,,,,,,,,,,,,,,,,,,,3,3,,3,3,1,1,3,,2,,,1,,,1,,,,,,,,,,,,7,7,6,1,13,8,17,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,18,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,18,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,19,id.,C,,,,,,,,,,,,,,,,,,,,,,1,3,,,2,,,,,,,,1,,,,,,,,,,,,,,,,4,3,,,4,3,19,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,20,id.,D,,,,,,,1,1,,,,,1,,2,,1,,2,,,7,1,2,2,6,3,3,1,1,,7,,2,1,1,,2,1,,,,,,,,,,,18,11,13,6,31,17,20,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,21,Oliebollenbakkers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,1,,2,,21,BT,1889_02_T3,156,157,HET RIJK,29_0447
,c,,Beetwortelsuikerfabrieken en suikerraffinaderijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,22,Fabricage van beetwortelsuiker,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,22,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,23,id.,B,,,,,,,,,,,,,,,,,,1,,,,5,4,,,9,,,,,,,,1,,,,1,,,,,,,,,,,,17,4,,,17,4,23,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,24,id.,C,,,,,,,,1,,,2,,,,3,,,,2,,,6,7,,,13,3,,,,,,,,,,,1,,,,1,,,,,,,,21,18,,,21,18,24,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,25,id.,D,,,,2,,4,1,9,2,,45,,6,7,88,,18,16,23,,7,168,55,1,3,208,12,4,1,93,2,,,23,,,1,7,,,,8,,,,,,,,530,240,5,39,535,279,25,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,26,Fabricage van kandij,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,26,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,27,Suikerraffinadeurs,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,2,1,,,2,1,27,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,28,id.,C,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,28,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,29,id.,D,,,,,,1,,1,,,,,,,4,,,,2,,,12,5,,,13,2,,,6,,,,,,,,,,,,,,,,,,,,31,15,,,31,15,29,BT,1889_02_T3,156,157,HET RIJK,29_0447
,d,,"Aardappelmeel- en stroopfabrieken, stijfsel, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,30,Fabricage van aardappelmeel,A,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,,,,2,,,,,,,,,,,,,,,,13,,,,13,,30,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,31,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,31,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,32,id.,C,,,,,,,,,,,,,,,1,,,,2,,,3,1,,,10,,,,3,,,,,,,,,,,,,,,,,,,,16,4,,,16,4,32,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,33,id.,D,,,,,,1,,2,,,12,,2,2,39,,2,10,5,,2,105,11,,4,103,3,3,,30,1,1,1,13,,,,5,,,,1,,,,,,,,269,74,4,11,273,85,33,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,34,Fabricage van aardappelstroop,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,34,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,35,id.,D,,,,,,,,,,,,,,1,,,,,,,,3,,,,2,1,,,2,,,,1,,,,,,,,,,,,,,,,9,1,,,9,1,35,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,36,Fabricage van sago,D,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,36,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,37,Fabricage van siroop,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,3,1,,,3,1,37,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,38,id.,B,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,38,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,39,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,39,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,40,id.,D,,,,,,,,,,,1,,,1,1,,,,,,,9,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,14,4,,,14,4,40,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,41,Fabricage van stijfsel,A,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,8,,,,8,,41,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,42,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,1,,,,,,,,,,,,,,,,7,,,,7,,42,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,43,id.,D,,,,4,3,2,6,7,19,,16,,17,,,,83,1,3,,5,26,4,1,2,29,2,1,,10,,,,,,,,2,,,,,,,,,,,,68,38,2,135,70,173,43,BT,1889_02_T3,156,157,HET RIJK,29_0447
,e,,Cacao- en chocoladefabrieken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,44,Fabricage van cacaeo,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,3,,,1,3,1,44,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,45,id.,C,,,,,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,9,,,,9,,45,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,46,id.,D,,,,,,,1,3,3,,,,24,1,1,,124,2,1,,23,32,2,2,32,7,1,2,4,5,,,,1,,,,,,,,2,,,,,,,,50,8,4,211,54,219,46,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,47,Fabricage van chocolaad,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,47,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,48,id.,D,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,48,BT,1889_02_T3,156,157,HET RIJK,29_0447
,f,,"Koffie (bewerking van), cichorei, koffiestroop, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,49,Fabricage van cichorei en koffiestroop,A,,,,,,,,,,,,,,,,,,,2,,,4,2,,,10,,,,6,1,1,,,,,,3,,,,1,,,,,,,,24,5,1,,25,5,49,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,50,id.,C,,,,,,,,,,,,,,,,,,,1,,,2,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,50,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,51,id.,D,,,,1,,3,,10,1,,10,,3,2,10,,5,,2,,1,8,7,,1,12,,,,7,1,,,3,,1,,1,,,,2,,,,,,,,35,44,1,11,36,55,51,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,52,Koffiebranders,A,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,1,2,1,52,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,53,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,53,BT,1889_02_T3,156,157,HET RIJK,29_0447
,,54,id.,D,,,,,,,1,,3,,,,,,,,1,,1,,,3,,,,2,2,,1,1,,,,1,1,,,,,,,,,,,,,,,7,4,,6,7,10,54,BT,1889_02_T3,156,157,HET RIJK,29_0447
XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,158,159,HET RIJK,29_0448
,g,,Verduurzaamde levensmiddelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,1,Fabricage van comestibles,A,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,1,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,2,id.,D,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,1,1,3,1,2,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,3,Fabricage van mosterd,A,,,,,,,,2,,,1,,,,,,,,,,,2,1,,,5,,,,3,,,,1,,,,,,,,,,,,,,,,11,4,,,11,4,3,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,4,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,4,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,5,Fabricage van verduurzaamde levensmiddelen,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,5,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,6,Groentezouters,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,6,BT,1889_02_T3,158,159,HET RIJK,29_0448
,h,,Vleeschbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,7,Fabricage van vleeschwaren,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,7,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,8,Paardenslachters,A,,,,,,,,,,,,,,,,,,3,,,,2,,,,4,1,,,5,,1,,1,,,,,,,,,,,,,,,,15,1,1,,16,1,8,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,9,id.,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,9,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,10,id.,D,,,,,,,,2,,,,,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,5,,,2,5,10,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,11,Poeliers,A,,,,,,,,1,,,,,,,7,,,2,4,,,22,9,2,1,36,3,4,,21,1,6,,4,,2,,4,,2,,3,,1,,,,,,92,25,17,1,109,26,11,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,12,id.,D,,,,,,,,4,,,2,,,,6,,,,2,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,2,16,,,2,16,12,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,13,Spekrookers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,13,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,14,Spekslagers,A,,,,,,,,,,,1,,,4,8,,,8,4,,,113,15,1,,132,6,4,,58,1,6,,16,1,1,,12,,1,,11,,,,,,,,354,36,13,,367,36,14,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,15,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,,1,2,15,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,16,id.,C,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,3,3,16,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,17,id.,D,,,,3,,13,,39,,,42,,,2,98,,,2,21,,,36,30,,,31,5,,,19,1,,,1,,,,1,,,,1,,,,,,,,93,252,,,93,252,17,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,18,Vleeschhouwers,A,,,,,,,,2,,,3,,,6,28,,,17,20,,2,307,83,2,,553,45,14,1,246,22,14,,79,4,5,,83,3,7,,54,5,11,,1,,,,1346,215,53,3,1399,218,18,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,19,id.,B,,,,,,,,,,,,,,,4,,,,,,,,,,,,2,,,2,,,,,,,,1,,,,,,,,,,,,3,6,,,3,6,19,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,20,id.,C,,,,,,,,,,,,,,,2,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,2,4,20,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,21,id.,D,,1,,6,,31,,150,,,184,,,7,468,,,10,104,,,67,173,,,82,41,,,25,12,,,9,3,,,9,2,,,6,,,,,,,,215,1175,,,215,1175,21,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,22,Vleeschrookers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,1,1,1,,2,1,22,BT,1889_02_T3,158,159,HET RIJK,29_0448
,i,,Vischbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,23,Vischdrogers,D,,,,,,,,,,,,,,,3,,,,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,2,5,,,2,5,23,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,24,Vischrookers,A,,,,,,,,,,,,,,,,,,1,,,,3,,,,5,1,,,1,1,,1,2,,,,1,,,,,,,,,,,,13,2,,1,13,3,24,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,25,id.,D,,,,,,,,,,,2,,,,2,,,,,,,4,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,8,8,25,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,26,Vischschoonmakers,D,,,,,,,,,,,,,,,1,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,26,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,27,Vischzouters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,27,BT,1889_02_T3,158,159,HET RIJK,29_0448
,k,,Boter- een kaasbereiding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,28,Boterboeren,A,,,,,,,,,,,2,,,,,,,1,1,,,7,2,,,3,1,1,,1,1,1,,,,1,,,,,,,,,,,,,,12,7,3,,15,7,28,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,29,id.,D,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,29,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,30,Fabricage van boter,A,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1,,,1,,,,1,,,,,,,,,,,,,,,,8,1,,,8,1,30,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,31,id.,B,,,,,,,,,,,,,,1,1,,,1,,,,4,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,7,3,,,7,3,31,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,32,id.,C,,,,,,,,,,,1,,,,3,,,,1,,,4,2,,,5,1,,,,,,,1,,,,,,,,,,,,,,,,10,8,,,10,8,32,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,33,id.,D,,,,,,,,1,1,,5,,,,10,,1,3,5,,,31,6,6,1,18,1,5,,5,,,1,,,,,1,1,,,,,,,,,,,58,29,11,4,69,33,33,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,34,Fabricage van boter en kaas,A,,,,,,,,,,,,,,,,,,1,,1,,6,,,,10,,,,5,,,,1,,,,,,,,2,,,,,,,,25,,1,,26,,34,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,35,id.,B,,,,,,,,,,,,,,,6,,,1,,,,4,2,,,4,,1,,,,,,,,,,,,,,,,,,,,,,9,8,1,,10,8,35,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,36,id.,C,,,,,,,,,,,,,,,2,,,,1,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,5,3,36,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,37,id.,D,,,,,,,,2,1,,7,,2,,10,,2,2,5,,,25,10,,1,32,,,1,4,,,,1,,,,1,,,,1,,,,,,,,66,34,,7,66,41,37,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,38,Fabricage van kunstboter,A,,,,,,,,,,,,,,,,,,,1,,,5,2,,,7,,,,3,,,,,,,,1,,,,,,,,,,,,16,3,,,16,3,38,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,39,id.,C,,,,,,,,,,,,,,,4,,,1,1,,,3,7,,,12,,,,3,,,,,,,,,,,,,,,,,,,,19,12,,,19,12,39,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,40,id.,D,,,,1,,,,5,,,21,,1,6,47,,8,11,23,,1,192,48,,9,192,9,1,1,41,2,,1,2,,,1,3,,,,3,,,,,,,,450,156,1,22,451,178,40,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,41,Fabricage van melkproducten,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,2,,41,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,42,id.,C,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,42,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,43,id.,D,,,,3,,3,2,7,5,,5,,1,,10,,4,1,2,,,8,1,,,5,,2,,2,,,,,,,,,,,,1,,,,,,,,17,31,2,12,19,43,43,BT,1889_02_T3,158,159,HET RIJK,29_0448
,l,,"Vruchtensappen, mineraalwater, ijsbereiding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,44,Fabricage van kunstijs,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,44,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,45,Fabricage van minerale wateren,A,,,,,,,,,,,,,,,1,,,,1,,,7,2,,,8,,1,,3,,,,,,,,,,,,,,,,,,,,18,4,1,,19,4,45,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,46,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,46,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,47,id.,D,,,,,,,,1,,,3,,,,3,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,3,9,47,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,48,Fabricage van vruchtensappen,A,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,5,,1,,6,,48,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,49,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,49,BT,1889_02_T3,158,159,HET RIJK,29_0448
,,50,id.,D,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,50,BT,1889_02_T3,158,159,HET RIJK,29_0448
XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,m,,"Jenever- en likeurstokerijen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,1,Branders,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,1,,,,,,,,1,,,,,,,,6,,,,6,,1,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,2,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,3,id.,C,,,,,,,,,,,,,,,1,,,,,,,,3,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,3,4,,,3,4,3,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,4,id.,D,,,,,,,,,,,,,,,2,,,,,,,7,5,,,4,2,,,1,,,,,,,,1,,,,,,,,,,,,13,9,,,13,9,4,BT,1889_02_T3,160,161,HET RIJK,29_0449
