"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,29,Fabricage van netten,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,29,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,30,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,1,2,1,30,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,31,id.,D,,,,,,,,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,3,,,3,3,3,31,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,32,Fabricage van touw,A,,,,,,,,,,,,,,,6,,,2,,,,30,7,,,64,7,3,,32,6,3,,21,3,,,14,,2,,9,,,,,,,,172,29,8,,180,29,32,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,33,id.,B,,,,,,,,,,,,,,,,,,,1,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,33,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,34,id.,C,,,,,,,,,,,,,,,2,,,,,,,7,2,,,6,1,,,3,,,,1,,,,2,,,,,,,,,,,,19,5,,,19,5,34,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,35,id.,D,,3,,22,1,36,3,90,1,,88,,1,3,154,,3,11,39,,,124,85,,1,150,36,3,,65,15,3,1,20,4,,,11,1,1,,9,,,,,,,,393,573,7,11,400,584,35,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,36,Fabricage van vlas,A,,,,,,,,,,,,,,,,,,2,1,,,40,10,,,77,14,1,,54,6,3,,14,2,,,12,,,,8,1,1,,,,,,207,34,5,,212,34,36,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,37,id.,B,,,,,,,,,,,,,,,1,,,,1,,,,1,,,4,2,,,4,1,,,2,,,,,,,,2,,,,,,,,12,6,,,12,6,37,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,38,id.,C,,,,,,,,,,,,,,,7,,,1,2,,,4,5,,,9,2,,,4,1,,,2,,,,1,,,,,,,,,,,,21,17,,,21,17,38,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,39,id.,D,,1,,29,1,46,5,127,4,,160,,3,13,386,1,9,40,107,,2,310,203,3,2,426,58,5,3,183,22,,2,64,4,2,,43,2,,,21,1,,,,,,,1100,1146,11,31,1111,1177,39,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,40,Fabricage van zeildoek,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,2,,,,1,,,,,,,,1,,,,,,,,5,3,,,5,3,40,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,41,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,41,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,42,id.,C,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,42,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,43,id.,D,,,,3,,4,,10,3,,8,,2,,24,,3,2,8,,3,48,28,1,1,89,20,8,,52,5,3,1,21,,1,,13,,,,5,,1,,,,,,230,110,14,13,244,123,43,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,44,Zeilmakers,A,,,,,,,,,,,,,,,2,,,,2,,,11,4,,,29,1,1,,17,1,,,13,,1,,2,1,,,7,1,,,,,,,79,12,2,,81,12,44,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,45,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,45,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,46,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,1,,,,,,,,,,,,5,,,,5,,46,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,47,id.,D,,,,1,,3,,13,,,8,,,,20,,,,10,,,9,21,,,29,4,,,9,,,,6,,,,5,,,,1,,,,,,,,59,80,,,59,80,47,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,,Totaal voor XIV,A,,,,,,,,,1,,2,,2,1,63,,5,5,27,,5,186,104,5,26,460,114,18,22,348,60,17,15,161,24,7,7,103,9,8,5,77,6,2,,,,1,,1341,409,58,88,1399,497,,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,,Totaal voor XIV,B,,,,,,,,,,,,,,,2,,,,4,,,8,13,,3,23,11,,1,18,2,,,8,,,1,,,,,3,,1,,,,,,60,32,1,5,61,37,,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,,Totaal voor XIV,C,,,,,,,,,,,1,,,,14,2,,1,6,,,37,23,,,82,8,,,41,1,,,12,1,,,6,,,,2,2,,,,,,,181,56,2,,183,56,,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,,Totaal voor XIV,D,,11,3,157,65,270,155,745,329,1,779,2,409,52,1594,42,660,124,470,27,164,1401,1017,118,315,1991,444,82,127,877,146,39,37,318,40,15,19,190,22,14,5,109,14,13,3,,,,,5063,5709,352,2291,5415,8000,,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,,Totaal voor groep XIV,,,11,3,157,65,270,155,745,330,1,782,2,411,53,1673,44,665,130,507,27,169,1632,1157,123,344,2556,577,100,150,1284,209,56,52,499,65,22,27,299,31,22,10,191,22,16,3,0,0,1,0,6645,6206,413,2384,7058,8590,,BT,1889_02_T4,212,213,HET RIJK,29_0475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,212,213,HET RIJK,29_0475
,XV,,,"Verlichting, olie, vet, zeep, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,A.,,Verlichting enz. (incl. gemeentelijke gasfabrieken).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,1,Fabricage van electriciteit,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,2,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,2,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,3,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,4,Fabricage van gas,A,,,,,,,,,,,,,,,,,,,,,,3,1,,,2,,1,,3,,,,1,,,,,,,,,,,,,,,,9,1,1,,10,1,4,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,5,id.,B,,,,,,,,,,,,,,,,,,,1,,,3,1,,,6,2,,,1,,,,1,,,,,,,,1,,,,,,,,12,4,,,12,4,5,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,6,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,2,,,1,2,6,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,7,id.,D,,,,,,1,,1,,,1,,,,11,,,3,4,,,35,13,,,41,2,,,15,,,,4,,,,1,,,,,,,,,,,,99,33,,,99,33,7,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,8,Fabricage van kaarsen,A,,,,,,,,,,,1,,,,,,,4,,,,3,1,,,6,6,,,3,2,1,,3,2,,,3,,,,2,,,,,,,,24,12,1,,25,12,8,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,9,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,10,id.,D,,,,,1,,,1,,,1,,1,,1,,1,,1,,,3,3,,,4,4,,,3,,,,,,,,,,,,,1,,1,,,,,10,12,,4,10,16,10,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,11,Gasfitters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,11,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,12,id.,D,,,,,,,,1,,,1,,,,1,,,1,1,,,15,1,,,12,,,,3,,,,1,,,,,,,,,,,,,,,,32,5,,,32,5,12,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,B.,,"Olie, vernis, vet, zeep, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,13,Fabricage van olie (olieslagers),A,,,,,,,,,,,,,,,1,,,,1,,,6,4,1,,28,6,,,17,4,,,5,,1,,4,,,,6,,,,,,,,66,16,2,,68,16,13,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,14,id.,B,,,,,,,,,,,,,,,1,,,,,,,2,,,,3,,,,2,1,,,,,,,2,,,,,,,,,,,,9,2,,,9,2,14,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,15,id.,C,,,,,,,,,,,,,,,3,,,,1,,,6,3,,,15,,,,7,,,,4,,,,1,,,,1,,,,,,,,34,7,,,34,7,15,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,16,id.,D,,1,,3,,7,,28,,,51,,,7,128,,,19,41,,,192,71,,,195,114,,,89,4,,,20,1,,,9,,1,,8,,,,,,,,539,449,1,,540,449,16,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,17,Fabricage van vernis,A,,,,,,,,,,,,,,,,,,1,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,17,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,18,id.,D,,,,,,,,,,,1,,,,2,,,,,,,1,,,,4,1,,,1,,,,,,,,,,,,,,,,,,,,6,4,,,6,4,18,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,19,Zeepzieders,A,,,,,,,,,,,,,,,1,,,,,,,1,,,,5,,,,3,,,,1,,,,,,,,,,,,,,,,10,1,,,10,1,19,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,20,id.,D,,,,,,1,,,,,1,,,,2,,,,,,,6,3,,,4,1,,1,6,,,,,,,1,,,,,1,,,,,,,,17,8,,2,17,10,20,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,Totaal voor XV,A,,,,,,,,,,,1,,,,2,,,5,1,,,15,6,1,,44,12,1,,26,6,1,,10,2,1,,8,,,,8,,,,,,,,116,30,4,,120,30,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,Totaal voor XV,B,,,,,,,,,,,,,,,1,,,,1,,,5,1,,,9,2,,,4,1,,,1,,,,2,,,,2,,,,,,,,23,6,,,23,6,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,Totaal voor XV,C,,,,,,,,,,,,,,,4,,,,1,,,6,3,,,17,,,,7,,,,4,1,,,1,,,,1,,,,,,,,36,9,,,36,9,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,Totaal voor XV,D,,1,,3,1,9,,31,,,56,,1,7,146,,1,23,47,,,252,91,,,260,22,,1,117,4,,,25,1,,1,10,,1,,9,1,,1,,,,,703,412,1,6,704,418,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,Totaal voor groep XV,,,1,0,3,1,9,0,31,0,0,57,0,1,7,153,0,1,28,50,0,0,278,101,1,0,330,36,1,1,154,11,1,0,40,4,1,1,21,0,1,0,20,1,0,1,0,0,0,0,878,457,5,6,883,463,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
XVI,,,,Voedings- en genotmiddelen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,A.,,"Grutterijen, meelmolens, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,21,Arbeiders maïskoekenfabriek,D,,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,21,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,22,Fabricage van meel,A,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,8,,,,1,,,,,,,,1,,,,,,,,16,,,,16,,22,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,23,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,23,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,24,id.,C,,,,,,,,,,,,,,,1,,,,,,,3,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,6,3,24,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,25,id.,D,,,,1,,,,4,,,5,,,1,19,,,1,3,,,38,11,,,37,2,,,11,1,,,2,,,,3,,,,,,,,,,,,93,46,,,93,46,25,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,26,grutters,A,,,,,,,,,,,,,,,,,,2,,,,9,2,1,,26,5,,,16,1,1,,5,,1,,,,,,5,,,,,,,,63,8,3,,66,8,26,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,27,id.,B,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,27,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,28,id.,D,,,,,,,,5,,,12,,,,29,,,5,15,,,26,10,,,28,4,,,4,1,,,2,,,,1,,,,2,,,,,,,,68,76,,,68,76,28,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,29,"Molenaars (meel-, rijst-, enz.)",A,,,,,,,,,,,,,,2,11,,2,12,9,,,246,47,3,1,487,36,16,,236,18,22,1,74,9,9,1,57,3,12,,41,3,10,,,,,,1155,136,72,5,1227,141,29,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,30,id.,B,,,,,,,,,,,,,,,1,,,,2,,,5,10,,,12,1,,,2,,,,,1,1,,1,,1,,,,,,,,,,20,15,2,,22,15,30,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,31,id.,C,,,,,,,,,,,1,,1,,1,,1,1,1,,,13,14,,,23,3,,,15,2,,,4,,,,6,,,,4,,,,,,,,66,22,,2,66,24,31,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,32,id.,D,,2,,5,,21,,62,,,155,,,11,471,,,19,164,,,206,381,,,212,98,,,74,13,,,12,3,,,12,1,,,2,,,,,,,,548,1376,,,548,1376,32,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,B.,,"Bakkerijen, (brood-, banket- suiker-, enz.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,33,Brood- en beschuitbakkers,A,,,,,,,,,,1,4,,,32,58,1,,76,44,,,1151,201,23,1,1666,231,50,7,864,46,59,3,251,12,20,2,148,18,21,2,129,9,17,,,,,,4318,623,191,15,4509,638,33,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,34,id.,B,,,,,,,,,,,3,,,1,21,,,3,14,,,21,43,,,15,13,1,,3,1,,,,,1,,,2,,,,2,,1,,,,,43,99,2,1,45,100,34,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,35,id.,C,,,,,,,,,,,1,,,,8,,,,5,,,3,5,,,7,4,,,3,,,1,1,1,,,2,,,,,,,,,,,,16,24,,1,16,25,35,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,36,id.,D,,7,,37,,138,,551,,,784,,,13,1754,,8,23,462,,1,136,837,1,4,133,184,,,48,54,,,17,9,,,10,4,,,5,3,,,,,,,385,4824,1,13,386,4837,36,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,37,Confiseurs,A,,,,,,,,,,,,,,,,,,,,,,5,3,,,8,,,,4,,,,,,,,1,,,,,,,,,,,,18,3,,,18,3,37,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,38,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,38,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,39,id.,D,,,,,,,2,2,,,6,,,,9,,,,4,,,1,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,25,,2,2,27,39,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,40,Fabricage van brood en beschuit,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,40,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,41,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,41,BT,1889_02_T4,214,215,HET RIJK,29_0476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,214,215,HET RIJK,29_0476
,XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,1,Fabricage van pepermunt,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,2,Fabricage van suikerwerken,A,,,,,,,,,,,,,,,,,,,,,,5,,,,6,1,,,2,,1,,4,,,,,,,,,,1,,,,,,17,1,2,,19,1,2,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,3,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,4,id.,C,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,5,id.,D,,,,,,,,,,,,,,,3,,,,,,,9,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,10,5,,,10,5,5,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,6,Koek- en banketbakkers,A,,,,,,,,,,,,,,,1,,,1,,,,17,5,,,25,8,1,,13,,2,,5,1,,,1,,1,,1,,1,,,,,,63,15,5,,68,15,6,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,7,id.,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,7,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,8,id.,C,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,8,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,9,id.,D,,1,,1,,3,,13,,,20,,,,24,,,1,10,,,4,16,4,,9,11,,,1,1,,,,,,,,,,,1,,,,,,,,16,100,4,,20,100,9,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,10,Koks en kooksters,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,10,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,11,id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,11,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,12,id.,D,,,,,,,,1,,,,,,,5,,,,1,,,2,3,,2,3,2,,1,1,1,,,,,,,2,1,,,,,,,,,,,8,14,,3,8,17,12,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,c.,,Beetwortelsuikerfabriek en suikerraffinaderijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,13,Fabricage van beetwortelsuiker,A,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,13,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,14,id.,B,,,,,,,,,,,,,,,,,,,,,,2,1,,,3,,,,3,,,,2,,,,,,,,,,,,,,,,10,1,,,10,1,14,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,15,id.,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,12,1,,,8,1,,,2,,,,,,,,1,,,,,,,,24,3,,,24,3,15,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,16,id.,D,,1,,,,,,8,1,,12,,,1,34,,2,5,23,,,54,22,,1,108,7,,,47,1,,,7,,,1,1,,,,,1,,,,,,,223,109,,5,223,114,16,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,17,Suikerraffinadeurs,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,5,,,,1,,,,,,,,,,,,,,,,,,,,7,2,,,7,2,17,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,18,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,4,,,,4,,18,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,19,id.,C,,,,,,,,,,,,,,,,,,,1,,,,1,,,6,1,,,1,1,,,,,,,,,,,,,,,,,,,7,4,,,7,4,19,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,20,id.,D,,,,,,1,,7,,,22,,5,3,57,1,13,6,27,,6,55,45,,1,107,9,,,22,5,1,,4,,,,3,,,,2,,,,,,,,202,173,2,25,204,198,20,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,d.,,"Aardappelmeel- en stroopfabrieken, stijfsel, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,21,Fabricage van aardappelmeel,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,21,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,22,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,22,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,23,id.,D,,,,,,,,4,4,,11,,9,7,16,,3,4,6,,,46,4,2,1,53,1,1,1,14,2,1,,1,,,,1,,,,3,,,,,,,,129,44,4,18,133,62,23,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,24,Fabricage van aardappelstroop,D,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,24,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,25,Fabricage van sago,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,25,BT,1889_02_T4,216,217,HET RIJK,29_0477
